date,pageviews,unique_visitors,bandwidth
2026-06-17,81,22,5.1 MB
2026-06-18,63,24,4.4 MB
2026-06-19,86,45,3.1 MB
2026-06-20,32,28,1.4 MB
2026-06-21,99,46,5.3 MB
2026-06-22,26,26,1.5 MB
2026-06-23,35,33,1.5 MB
2026-06-24,40,38,870.3 KB
2026-06-25,37,24,3.8 MB
2026-06-26,34,26,2.2 MB
2026-06-27,28,26,1.7 MB
2026-06-28,60,58,3.1 MB
2026-06-29,46,42,2.2 MB
2026-06-30,69,51,4.6 MB
2026-07-01,55,48,2.1 MB
2026-07-02,26,24,1.7 MB
2026-07-03,70,26,1.1 MB
2026-07-04,62,11,1.2 MB
2026-07-05,69,17,1.4 MB
2026-07-06,32,23,1.3 MB
2026-07-07,32,23,960.1 KB
2026-07-08,28,25,1.3 MB
2026-07-09,63,47,1.6 MB
2026-07-10,94,59,3.6 MB
2026-07-11,67,65,1.9 MB
2026-07-12,62,59,2.1 MB
2026-07-13,37,37,1.1 MB
2026-07-14,14,14,620.1 KB
2026-07-15,21,14,673.6 KB
2026-07-16,99,25,4.3 MB
2026-07-17,130,8,1.9 MB
